Country,Year,Livability_Score,Lower_Bound,Upper_Bound,Latest_Score
Luxembourg,2025,0.692835855023709,0.6785489013440257,0.7081543686440621,0.7117165499751698
Luxembourg,2026,0.6938224345538692,0.6716055534997774,0.7158073305541791,0.7117165499751698
Luxembourg,2027,0.6948090140840293,0.6653987473867288,0.7256433603174878,0.7117165499751698
Latvia,2023,0.7550759863592206,0.746496400959339,0.7633728764088388,0.7044944887066191
Latvia,2024,0.763085145206872,0.739656398096249,0.7883470421585466,0.7044944887066191
Latvia,2025,0.7711162469554758,0.7248945867948897,0.8177679423419741,0.7044944887066191
Latvia,2026,0.7791254058031271,0.7031017503101886,0.8510546138434063,0.7044944887066191
Latvia,2027,0.7871345646507785,0.6825902882587388,0.8911145829104395,0.7044944887066191
Morocco,2023,0.6099931283756742,0.5980709180300862,0.6212888207724316,0.5598807436921264
Morocco,2024,0.6170542151327287,0.6053206422001162,0.6284708139679788,0.5598807436921264
Morocco,2025,0.6241346473329532,0.6122176010770582,0.635313886139194,0.5598807436921264
Morocco,2026,0.6311957340900076,0.6186642434266709,0.6423726077680162,0.5598807436921264
Morocco,2027,0.6382568208470621,0.6255371633840744,0.6520590453914691,0.5598807436921264
Monaco,2023,0.6618288932451911,0.6484336324093881,0.6751847654231051,0.6884146230761082
Monaco,2024,0.661793746748174,0.6477697876885025,0.6754293346858525,0.6884146230761082
Monaco,2025,0.6617585039593842,0.6471856866404111,0.6741050094967262,0.6884146230761082
Monaco,2026,0.6617233574623672,0.647324370707571,0.676369903087222,0.6884146230761082
Monaco,2027,0.66168821096535,0.6448838522520935,0.6780920698895465,0.6884146230761082
Moldova,2023,0.6429615638014793,0.6374333101072447,0.6487607775997494,0.6107428294454406
Moldova,2024,0.6461581133943304,0.6272648105208877,0.6645447421124475,0.6107428294454406
Moldova,2025,0.6493634206572988,0.61307416216801,0.6813895107395209,0.6107428294454406
Moldova,2026,0.6525599702501499,0.595964293012046,0.7001558108735887,0.6107428294454406
Moldova,2027,0.6557565198430009,0.5766596697777734,0.7239689179337686,0.6107428294454406
Madagascar,2023,0.6043216470778883,0.5950582551326604,0.6132914758203638,0.572988417858772
Madagascar,2024,0.6104977982445416,0.5992976152378527,0.6206633433600531,0.572988417858772
Madagascar,2025,0.6166908703732954,0.6027227618640928,0.6289587622460142,0.572988417858772
Madagascar,2026,0.6228670215399489,0.6048326801063146,0.6380289710065347,0.572988417858772
Madagascar,2027,0.6290431727066021,0.6056253012915628,0.6489741104292271,0.572988417858772
Maldives,2023,0.640377811163718,0.6364794972805699,0.6445081111146812,0.6038482832341725
Maldives,2024,0.6461135993063857,0.6334588852783309,0.6586515252349803,0.6038482832341725
Maldives,2025,0.6518651019371156,0.6311523467818498,0.6746965077962525,0.6038482832341725
Maldives,2026,0.6576008900797833,0.6257977298304347,0.6916354385049165,0.6038482832341725
Maldives,2027,0.663336678222451,0.618975417615087,0.7137243028363002,0.6038482832341725
Mexico,2023,0.639221321587811,0.6352688074419334,0.642529239209093,0.6399936830990921
Mexico,2024,0.6403003117616373,0.6284806046560237,0.6512503154403367,0.6399936830990921
